id;locale;key;value
26420;en;decidim.content_blocks.hero.name;Hero image
26422;en;decidim.content_blocks.sub_hero.name;Sub hero banner
26419;de;decidim.content_blocks.hero.name;Kachelbild
26421;de;decidim.content_blocks.sub_hero.name;Banner unter dem Kachelbild (Beschreibungstext)
18779;de;decidim.admin.actions.participatory_space_private_user.new;Neue*r private Benutzende
18780;en;decidim.admin.actions.participatory_space_private_user.new;New participatory space private user
4739;de;decidim.proposals.last_activity.new_proposal_at_html;<span>Neuer Vorschlag zum Mitwirkungsprozess «%{link}» hinzugefügt</span>
4740;en;decidim.proposals.last_activity.new_proposal_at_html;<span>New proposal added to the process «%{link}«</span>
18781;de;decidim.admin.models.participatory_space_private_user.name;Private Teilnehmende
26459;de;decidim.follows.create.participatory_space;Sie folgen bereits dem Prozess
26460;en;decidim.follows.create.participatory_space;Notifications activated
18782;en;decidim.admin.models.participatory_space_private_user.name;Participatory space private participant
4725;de;decidim.budgets.order_summary_mailer.order_summary.voted_on_space;Sie haben für das Budget «%{budget_name}» im Mitwirkungsprozess «%{space_name}» abgestimmt.
4726;en;decidim.budgets.order_summary_mailer.order_summary.voted_on_space;You have voted on the %{budget_name} budget for the %{space_name} participatory space.
4727;de;decidim.budgets.order_summary_mailer.order_summary.voted_on_space_with_scope;Sie haben für das Budget «%{budget_name}» im Mitwirkungsprozess «%{space_name}» innerhalb des Bereichs «%{scope_name} (%{scope_type})» abgestimmt.
4728;en;decidim.budgets.order_summary_mailer.order_summary.voted_on_space_with_scope;You have voted on the %{budget_name} budget for the %{space_name} participatory space on %{scope_name} (%{scope_type}).
4737;de;decidim.blogs.last_activity.new_post_at_html;<span>Neuer Blogbeitrag im Mitwirkungsprozess «%{link}»</span>
4738;en;decidim.blogs.last_activity.new_post_at_html;<span>New blog post at «%{link}»</span>
18784;en;decidim.admin.participatory_space_private_users.create.success;Participatory space private participant access successfully created.
18786;en;decidim.admin.participatory_space_private_users.destroy.success;Participatory space private participant access successfully destroyed.
18787;de;decidim.admin.participatory_space_private_users.new.title;Private Teilnehmende hinzufügen
18788;en;decidim.admin.participatory_space_private_users.new.title;New Participatory Space private participant.
18790;en;decidim.participatory_processes.show.private_space;This is a private process
18789;de;decidim.participatory_processes.show.private_space;Dies ist ein geschlossener Prozess
28414;en;decidim.admin.menu.participatory_processes_submenu.steps;Phases
28416;en;decidim.admin.participatory_process_steps.index.steps_title;Phases
28413;de;decidim.admin.menu.participatory_processes_submenu.steps;Schritte Partizipation
28415;de;decidim.admin.participatory_process_steps.index.steps_title;Schritte des Partizipationsprozesses
18792;en;activemodel.attributes.assembly.private_space;Private space
18791;de;activemodel.attributes.assembly.private_space;Geschlossener Prozess
18793;de;decidim.admin.participatory_process_user_roles.index.process_admins_title;Berechtigungen
18794;en;decidim.admin.participatory_process_user_roles.index.process_admins_title;Authorizations
1829;de;decidim.admin.participatory_process_user_roles.new.title;Berechtigung erstellen
1830;en;decidim.admin.participatory_process_user_roles.new.title;New authorization
2284;en;layouts.decidim.process_navigation.process_menu_item;Overview
18795;de;decidim.admin.models.participatory_process_user_role.name;Partizipative*r Prozessbenutzende*r
18796;en;decidim.admin.models.participatory_process_user_role.name;Participatory process admin
18798;en;decidim.admin.actions.new_process_user_role;New process admin
18797;de;decidim.admin.actions.new_process_user_role;Neue Berechtigung
2279;de;layouts.decidim.participatory_processes.participatory_process.take_part_in;Mitmachen!
2280;en;layouts.decidim.participatory_processes.participatory_process.take_part_in;Participate!
2281;de;layouts.decidim.participatory_processes.promoted_process.take_part_in;Mitmachen!
2282;en;layouts.decidim.participatory_processes.promoted_process.take_part_in;Participate
2283;de;layouts.decidim.process_navigation.process_menu_item;Prozess
1744;en;decidim.participatory_processes.participatory_processes.filters.counters.upcoming.other;%{count} upcoming processes
