id;locale;key;value
25559;en;nettonull.implementation.self;I/we will implement the idea by myself / by ourselves
25560;de;nettonull.implementation.self;Ich/wir setzen die Idee selbstständig um
25561;en;nettonull.implementation.others;I am / we are looking for collaborators
25562;de;nettonull.implementation.others;Ich/wir suchen noch Mitstreiter*innen
25563;en;nettonull.implementation.unclear;I don't know yet
25564;de;nettonull.implementation.unclear;Ich weiss es noch nicht
25565;en;decidim.proposals.proposals.edit.attachment_legend;Add sketches, images, etc. These documents will be published with the idea. Therefore, ensure that you have the necessary rights to publish them.
25566;de;decidim.proposals.proposals.edit.attachment_legend;Füge Skizzen, Bilder o.ä hinzu. Diese Dokumente werden mit der Idee veröffentlicht. Stelle deshalb sicher, dass du über die erforderlichen Rechte zur Veröffentlichung verfügst.
25567;en;activemodel.attributes.proposal.user_group_id;Create idea as
25519;en;nettonull.ideadescription.heading;Idea description
25520;de;nettonull.ideadescription.heading;Ideenbeschreibung
25521;en;nettonull.entstehung.title;What should be created?
25522;de;nettonull.entstehung.title;Was soll entstehen?
25523;en;decidim.proposals.actions.new;New idea
25524;de;decidim.proposals.actions.new;Neue Idee
25525;en;decidim.statistics.proposals_count;Project ideas
25526;de;decidim.statistics.proposals_count;Projektideen
25527;en;nettonull.ideadescription.text;Go into detail! Write down all your thoughts so that we can better understand your idea. What do you want to implement and where?
25528;de;nettonull.ideadescription.text;Gehe ins Detail! Schreibe alle Gedanken auf, die du dir gemacht hast, damit wir deine Idee besser verstehen können. Was möchtest du wo umsetzen?
25529;en;nettonull.machen.title;What can you do here?
25530;de;nettonull.machen.title;Was kann man hier machen?
25531;en;nettonull.reference.heading;Reference
25532;de;nettonull.reference.heading;Referenzbeispiel
25533;en;nettonull.reference.example;Example
25534;de;nettonull.reference.example;Beispiel
25535;en;nettonull.people.title;Who are you?
25536;de;nettonull.people.title;Wer bist du?
25537;en;nettonull.people.singleperson;I am an individual
25538;de;nettonull.people.singleperson;Ich bin eine Einzelperson
25539;en;nettonull.people.group;We are an informal group (e.g. neighbourhood group)
25540;de;nettonull.people.group;Wir sind eine informelle Gruppe (z.B. Nachbarschaftsgruppe)
25541;en;nettonull.people.organisation;We are an organisation (e.g. association, foundation, educational institution, NGO).
25542;de;nettonull.people.organisation;Wir sind eine Organisation (z.B. Verein, Stiftung, Bildungseinrichtung, NGO)
25543;en;nettonull.people.enterprise;We are a company (e.g. start-up, SME)
25544;de;nettonull.people.enterprise;Wir sind ein Unternehmen (z.B. Start-Up, KMU)
25545;en;nettonull.people.other;We are something different
25546;de;nettonull.people.other;Wir sind was anderes
25547;en;nettonull.people.name;Name
25548;de;nettonull.people.name;Name
25549;en;nettonull.contact.heading;Your e-mail address
25550;de;nettonull.contact.heading;Deine/Eure E-Mail-Adresse
25551;en;nettonull.contact.description;We would like to be able to contact you if we have any questions or to let you know that your idea has made it to the next round!
