id;locale;key;value
21113;en;activemodel.attributes.elections_question.max_choices;Maximum number of choices
21114;de;activemodel.attributes.elections_question.max_choices;Maximale Anzahl Auswahlmöglichkeiten
21115;en;activemodel.attributes.token_csv.file;File
21116;de;activemodel.attributes.token_csv.file;Datei
21117;en;activemodel.attributes.token_csv.remove_all;Remove all current census data
21118;de;activemodel.attributes.token_csv.remove_all;Alle aktuellen Zählungsdaten entfernen
21119;en;activerecord.models.decidim/elections/election.one;Election
21120;de;activerecord.models.decidim/elections/election.one;Wahl
21121;en;activerecord.models.decidim/elections/election.other;Elections
21122;de;activerecord.models.decidim/elections/election.other;Wahlen
21123;en;decidim.admin.menu.elections_menu.basic_elections;Main
21124;de;decidim.admin.menu.elections_menu.basic_elections;Allgemein
21125;en;decidim.admin.menu.elections_menu.election_census;Census
21126;de;decidim.admin.menu.elections_menu.election_census;Erhebung
21127;en;decidim.admin.menu.elections_menu.election_dashboard;Dashboard
21128;de;decidim.admin.menu.elections_menu.election_dashboard;Dashboard
21129;en;decidim.admin.menu.elections_menu.election_questions;Questions
21130;de;decidim.admin.menu.elections_menu.election_questions;Fragen
21131;en;decidim.admin.tooltips.deleted_elections_info;Cannot delete this election
21132;de;decidim.admin.tooltips.deleted_elections_info;Diese Wahl kann nicht gelöscht werden
21133;en;decidim.admin.tooltips.edit_elections_info;Cannot edit this election
21134;de;decidim.admin.tooltips.edit_elections_info;Diese Wahl kann nicht bearbeitet werden
21135;en;decidim.components.elections.actions.create;Create
21136;de;decidim.components.elections.actions.create;Erstellen
21137;en;decidim.components.elections.actions.destroy;Destroy
21138;de;decidim.components.elections.actions.destroy;Löschen
21139;en;decidim.components.elections.actions.update;Update
21140;de;decidim.components.elections.actions.update;Aktualisieren
21141;en;decidim.components.elections.name;Elections
21142;de;decidim.components.elections.name;Wahlen
21143;en;decidim.components.elections.settings.global.announcement;Announcement
21144;de;decidim.components.elections.settings.global.announcement;Ankündigung
21145;en;decidim.components.elections.settings.step.announcement;Announcement
21146;de;decidim.components.elections.settings.step.announcement;Ankündigung
